backend,num_processes,data_size_mb,rank_avg
gloo,2,1,0.0013985959812998
gloo,2,10,0.0103249154053628
gloo,2,100,0.0852405577898025
gloo,2,1000,0.8426892459392548
gloo,4,1,0.0021902937442064
gloo,4,10,0.0227287388406693
gloo,4,100,0.18899941816926
gloo,6,1,0.0041878402698785
gloo,6,10,0.034828233222166695
nccl,2,1,0.0005095330125186
nccl,2,10,0.0005603749887086
nccl,2,100,0.0009026009938679
nccl,2,1000,0.0062756529077887
nccl,4,1,0.0008455460047116
nccl,4,10,0.000725166995835
nccl,4,100,0.0018560745229478
nccl,4,1000,0.0093821221962571
nccl,6,1,0.0008260293301039
nccl,6,10,0.0007447913327875
nccl,6,100,0.0018333946742738
nccl,6,1000,0.0093998888817926

